carat,x dimension,y dimension,z dimension,depth,table,price,clarity,color,cut
0.21428571428571425,0.3529411764705883,0.37168141592920345,0.37799043062200965,0.3888888888888964,0.5,3000.0,IF,D,IDEAL
0.35714285714285704,0.5294117647058825,0.5781710914454274,0.5311004784688995,0.44444444444444287,0.8333333333333321,4500.0,VVS2,E,PREMIUM
0.39285714285714274,0.11764705882352944,0.23967551622418837,0.6244019138755981,0.6111111111111072,0.33333333333333215,700.0,SI2,H,GOOD
0.7142857142857142,0.5882352941176472,0.864306784660767,0.8564593301435408,0.3888888888888964,0.6666666666666661,10000.0,IF,D,IDEAL
0.49999999999999994,0.6176470588235294,0.5781710914454274,0.6172248803827753,0.3888888888888964,0.5,2400.0,I1,J,FAIR
0.39285714285714274,0.5882352941176472,0.59882005899705,0.5837320574162679,0.6111111111111072,0.5,4200.0,SI1,G,VERY GOOD
0.21428571428571425,0.3529411764705883,0.5781710914454274,0.37799043062200965,0.3888888888888964,0.5,3100.0,IF,D,IDEAL
0.14285714285714285,0.26470588235294135,0.2654867256637168,0.2583732057416268,0.6111111111111072,0.5,1500.0,VVS1,F,GOOD
0.39285714285714274,0.11764705882352944,0.23967551622418837,0.6244019138755981,0.6111111111111072,0.5,4350.0,SI2,I,GOOD
0.5714285714285714,0.7352941176470591,0.5781710914454274,0.7607655502392345,0.6111111111111072,0.6666666666666661,7500.0,VVS1,F,IDEAL
0.21428571428571425,0.5882352941176472,0.38938053097345127,0.3827751196172249,0.3888888888888964,0.6666666666666661,4350.0,SI1,COLORLESS,PREMIUM
0.14285714285714285,0.2941176470588238,0.2920353982300883,0.6244019138755981,0.3888888888888964,0.33333333333333215,1400.0,VVS2,G,VERY GOOD
0.39285714285714274,0.5294117647058825,0.5368731563421827,0.5406698564593302,0.6111111111111072,0.0,2000.0,SI2,J,FAIR
0.6428571428571428,0.7941176470588236,0.5781710914454274,0.799043062200957,0.6111111111111072,0.5,9200.0,VVS1,E,PREMIUM
0.25,0.41176470588235303,0.4129793510324482,0.6244019138755981,0.44444444444444287,0.5,1800.0,SI2,H,GOOD
0.39285714285714274,0.1470588235294119,0.23967551622418837,0.15729665071770338,0.3888888888888964,0.5,4350.0,VVS2,I,GOOD
0.21428571428571425,0.3823529411764708,0.5781710914454274,0.37799043062200965,0.6111111111111072,0.33333333333333215,2300.0,SI1,G,VERY GOOD
0.5714285714285714,0.7647058823529413,0.7669616519174041,0.6244019138755981,0.3888888888888964,0.6666666666666661,4350.0,IF,D,IDEAL
0.28571428571428564,0.47058823529411775,0.4808259587020647,0.6244019138755981,0.6111111111111072,0.5,2200.0,SI2,H,GOOD
0.35714285714285704,0.5882352941176472,0.5604719764011798,0.5550239234449761,0.3888888888888964,0.5,2100.0,I1,J,FAIR
0.39285714285714274,0.6470588235294119,0.6666666666666667,0.7129186602870814,0.3888888888888964,0.5,6000.0,VVS1,F,IDEAL
0.7857142857142856,0.882352941176471,0.5781710914454274,0.904306220095694,0.833333333333325,1.0,10500.0,SI1,G,PREMIUM
0.857142857142857,0.9411764705882355,0.9299410029498527,0.6244019138755981,0.6666666666666643,0.8333333333333321,11000.0,IF,D,GOOD
0.39285714285714274,0.2058823529411764,0.23967551622418837,0.21052631578947367,0.6111111111111072,0.33333333333333215,800.0,VVS2,E,GOOD
0.9241071428571426,1.0,0.9299410029498527,1.0000000000000002,0.6111111111111072,0.0,3400.0,I1,I,FAIR
0.0,0.0,0.23967551622418837,0.15729665071770338,0.5,0.5,500.0,SI1,H,VERY GOOD
0.1071428571428571,0.17647058823529416,0.23967551622418837,0.6244019138755981,0.3888888888888964,0.33333333333333215,1300.0,IF,G,IDEAL
0.39285714285714274,0.2058823529411764,0.5781710914454274,0.20095693779904322,0.5555555555555571,0.5,1600.0,VVS2,G,GOOD
0.25,0.4411764705882355,0.4513274336283184,0.44976076555023936,0.5,0.5,2500.0,I1,J,PREMIUM
0.39285714285714274,0.8235294117647061,0.831858407079646,0.8325358851674645,0.6111111111111072,0.6666666666666661,7700.0,VVS1,D,IDEAL
0.3214285714285714,0.5,0.5781710914454274,0.5071770334928232,0.6111111111111072,0.6666666666666661,2900.0,SI2,COLORLESS,VERY GOOD
0.9241071428571426,0.9705882352941178,0.9299410029498527,0.6244019138755981,0.833333333333325,0.8333333333333321,10800.0,VVS2,F,GOOD
0.49999999999999994,0.6470588235294119,0.6578171091445426,0.6555023923444976,0.6666666666666643,0.5,2600.0,SI2,H,FAIR
0.39285714285714274,0.882352941176471,0.5781710914454274,0.8899521531100476,0.5555555555555571,0.5,9300.0,VVS1,E,PREMIUM
0.17857142857142855,0.2941176470588238,0.3008849557522124,0.6244019138755981,0.5,0.33333333333333215,1700.0,SI2,I,GOOD
0.28571428571428564,0.47058823529411775,0.471976401179941,0.6244019138755981,0.6111111111111072,0.6666666666666661,2800.0,VVS2,G,GOOD
0.39285714285714274,0.41176470588235303,0.41887905604719733,0.42583732057416257,0.44444444444444287,0.5,2700.0,SI1,F,VERY GOOD
0.5357142857142856,0.7058823529411766,0.5781710914454274,0.7129186602870814,0.7777777777777786,0.6666666666666661,9400.0,IF,D,IDEAL
0.607142857142857,0.7941176470588236,0.7935103244837758,0.6244019138755981,0.833333333333325,0.5,8500.0,SI2,J,GOOD
0.39285714285714274,0.5882352941176472,0.5781710914454274,0.5933014354066986,0.3888888888888964,0.16666666666666607,2200.0,I1,G,FAIR
0.17857142857142855,0.26470588235294135,0.2743362831858407,0.2870813397129186,0.5,0.33333333333333215,1500.0,SI2,H,IDEAL
0.39285714285714274,0.6764705882352944,0.5781710914454274,0.6842105263157894,0.3888888888888964,0.6666666666666661,5900.0,IF,F,PREMIUM
0.46428571428571425,0.5588235294117647,0.5693215339233038,0.6244019138755981,0.5555555555555571,0.16666666666666607,4800.0,VVS1,I,GOOD
0.5357142857142856,0.7058823529411766,0.7138643067846606,0.7177033492822968,0.6666666666666643,0.5,7300.0,VVS2,D,GOOD
0.39285714285714274,0.6176470588235294,0.6253687315634218,0.6244019138755981,0.6111111111111072,0.0,2700.0,SI1,E,FAIR
0.1071428571428571,0.2058823529411764,0.5781710914454274,0.21052631578947367,0.44444444444444287,0.5,1400.0,IF,G,VERY GOOD
0.25,0.4411764705882355,0.5781710914454274,0.44976076555023936,0.6111111111111072,0.33333333333333215,2600.0,VVS2,J,IDEAL
0.39285714285714274,0.26470588235294135,0.2654867256637168,0.26315789473684204,0.3888888888888964,0.5,1200.0,I1,D,GOOD
